week_start,fabric,mechanism,service,structure,transport,weekly_total_eur
2025-08-12,0.0,0.0,1000.0,0.0,0.0,1000.0
2025-08-19,27.9,0.0,1547.0,97.55,0.0,1672.45
2025-09-02,32.75,0.0,0.0,0.0,0.0,32.75
2025-09-09,86.9,0.0,0.0,0.0,47.0,133.9
2025-09-16,243.92000000000002,0.0,0.0,0.0,0.0,243.92000000000002
2025-09-23,29.05,0.0,1000.0,595.11,0.0,1624.1599999999999
2025-09-30,0.0,233.83,45.63,52.57,0.0,332.03000000000003
2025-10-07,0.0,0.0,0.0,55.67,0.0,55.67
2025-10-14,0.0,0.0,3611.7,212.0019,48.0,3871.7019
2025-10-21,0.0,0.0,0.0,52.35,27.0,79.35
2025-10-28,13.940000000000001,0.0,0.0,0.0,0.0,13.940000000000001
2025-11-04,48.78,98.37,60.0,73.1,0.0,280.25
2025-11-11,0.0,9.59,0.0,0.0,0.0,9.59
2025-11-18,0.0,85.35,0.0,0.0,0.0,85.35
2025-11-25,0.0,33.74,811.05,0.0,15.0,859.79
2025-12-02,0.0,0.0,500.0,0.0,40.0,540.0
2025-12-09,0.0,0.0,2375.0,0.0,0.0,2375.0
2025-12-23,0.0,0.0,1289.0,0.0,0.0,1289.0
2025-12-30,0.0,0.0,800.0,0.0,0.0,800.0
